Symbol,Name
ES=F,E-Mini S&P 500 Jun 20
YM=F,Mini Dow Jones Indus.-$5 Jun 20
NQ=F,Nasdaq 100 Jun 20
RTY=F,E-mini Russell 2000 Index Futur
ZB=F,"U.S. Treasury Bond Futures,Jun-"
ZN=F,"10-Year T-Note Futures,Jun-2020"
ZF=F,Five-Year US Treasury Note Futu
ZT=F,"2-Year T-Note Futures,Jun-2020"
GC=F,Gold
ZG=F,Gold 100 oz. Apr 20
SI=F,Silver
ZI=F,Silver 5000 oz. May 20
PL=F,Platinum Apr 20
HG=F,Copper Mar 20
PA=F,Palladium Jun 20
CL=F,Crude Oil
HO=F,Heating Oil Apr 20
NG=F,Natural Gas Apr 20
RB=F,RBOB Gasoline Apr 20
BZ=F,Brent Crude Oil Last Day Financ
B0=F,Mont Belvieu LDH Propane (OPIS)
C=F,Corn May 20
O=F,Oats Jul 20
KW=F,"KC HRW Wheat Futures,May-2020,C"
RR=F,Rough Rice May 20
SM=F,Soybean Meal May 20
BO=F,Soybean Oil May 20
S=F,Soybeans May 20
FC=F,Feeder Cattle Apr 20
LH=F,Lean Hogs Apr 20
LC=F,Live Cattle Apr 20
CC=F,Cocoa May 20
KC=F,Coffee May 20
CT=F,Cotton May 20
LB=F,Lumber May 20
OJ=F,Orange Juice May 20
SB=F,Sugar #11 May 20
