SGX:D05, DBS Group Holdings
SGX:G13, Genting Singapore PLC
SGX:Z74, Singapore Telecom
SGX:U11, United Overseas Bank
SGX:V03, Venture Corporation
SGX:C31, CapitaLand
SGX:O39, Oversea-Chinese Banking Corp
SGX:C38U, CapitaMall Trust
SGX:BS6, Yangzijiang Shipbuilding Holdings
SGX:BN4, Keppel Corp
SGX:C61U, CapitaCom Trust
SGX:C09, City Developments Limited
SGX:A17U, Ascendas Real Estate Investment Trust
SGX:S68, Singapore Exchange
SGX:T39, Singapore Press Holdings
SGX:U14, UOL Group
SGX:C6L, Singapore Airlines
SGX:S63, Singapore Technologies Engineering
SGX:F34, Wilmar International
SGX:N2IU, Mapletree Commercial Trust
SGX:M44U, Mapletree Logistics Trust
SGX:Y92, Thai Beverages
SGX:J37, Jardine Strategic Holdings Ltd
SGX:S58, SATS
SGX:J36, Jardine Matheson Holdings Limited
SGX:C52, ComfortDelGro Corporation
SGX:U96, Sembcorp Industries
SGX:H78, Hongkong Land Holdings
SGX:D01, Dairy Farm International Holdings
SGX:C07, Jardine Cycle & Carriage
